turkish;russian;turkish hint;russian hint
alt kat;нижний этаж;;
başarı;успех;;
başarılı;успешный;;
boş;пустой/свободный;;
duvar;стена;;
içecek;напиток;;
kantin;столовая/буфет;;
kasap;мясник;;
kuaför;парикмахер;;
kuyumcu;ювелир;;
manav;продовец фруктов и зелени;;
misafir;гость;;
misafirlikteyim;я в гостях;;
perde;штора/занавес/занавеска;;
yiyecek;пища/продовольствие/еда/корм;;
örnek;пример;;
üst kat;верхний этаж;;
