turkish;russian;turkish hint;russian hint
bana;мне;;
cümle;предложение;;
dışarı;снаружи;;
grup;группа;;
hiç kimseyle;ни с кем;;
izin;разрешение/отпуск;;
rica;просьба;;
sana;тебе;;
ses;голос/звук;;
yarım saat sonra;через пол часа;;
