turkish;russian;turkish hint;russian hint
Gürcistan;Грузия;;
alışmak;привыкать;;
annemle;с моей мамой;;
berrak;прозрачный;;
beslemek;кормить;;
bezdirmak;раздражать/надоедать;;
bindik;мы сели на что-то;;
bir kere;один раз;;
bırakmak;оставить;;
cinsiyet;род/пол/гендер;;
denemek;попробовать/испытать;;
dişi;самка;;
erkek;мужчина/самец;;
eğlencili;веселый/забавный;;
gemi;корабль;;
gezip;прогуляться;;
gezmek;путешествовать/гулять;;
hasta;больной;;
hastalanmak;заболеть;;
korkak;пугливый;;
korkmak;испугаться/пугаться;;
meşhur;известный/знаменитый;;
misafirperver;гостеприимный;;
puro;сигара;;
saha;площадка/поле;;
sakin;спокойный;;
saldırgan;агрессивный;;
saldırmak;нападать/набрасываться;;
sevdiğim;моя любимый;;
sulamak;поливать;;
tahmini;приблизительный;;
tanıdık;знакомый;;
tatil;каникулы/выходной;;
vapur;паром;;
